Date,SBIN-EQ O,SBIN-EQ H,SBIN-EQ L,SBIN-EQ C,SBIN-EQ V
9/14/2018 9:56:00 AM,289.5,289.7,289.25,289.55,52377
9/14/2018 9:55:00 AM,288.9,289.5,288.9,289.5,65397
9/14/2018 9:54:00 AM,289.75,289.75,288.75,289,227173
9/14/2018 9:53:00 AM,289.7,290,289.65,289.75,18217
9/14/2018 9:52:00 AM,289.7,290,289.6,289.7,27805
9/14/2018 9:51:00 AM,289.6,289.75,289.55,289.7,35132
9/14/2018 9:50:00 AM,289.7,289.8,289.6,289.6,41028
9/14/2018 9:49:00 AM,289.7,289.8,289.6,289.7,42981
9/14/2018 9:48:00 AM,290,290.2,289.7,289.7,110957
9/14/2018 9:47:00 AM,290.25,290.35,290,290,39510
9/14/2018 9:46:00 AM,290.2,290.35,290.1,290.25,24095
9/14/2018 9:45:00 AM,290.15,290.2,290,290.15,24923
9/14/2018 9:44:00 AM,290.25,290.3,290,290.15,20984
9/14/2018 9:43:00 AM,290.15,290.3,290,290.2,42751
9/14/2018 9:42:00 AM,290.05,290.25,290,290,27057
9/14/2018 9:41:00 AM,290.3,290.5,290,290.1,31461
9/14/2018 9:40:00 AM,290,290.2,289.95,290.2,43685
9/14/2018 9:39:00 AM,290.05,290.2,289.9,290,39025
9/14/2018 9:38:00 AM,290.45,290.5,289.95,290.05,117852
9/14/2018 9:37:00 AM,290.45,290.5,290.25,290.4,29688
9/14/2018 9:36:00 AM,290.7,290.75,290.25,290.4,73941
9/14/2018 9:35:00 AM,290.85,291,290.65,290.75,64633
9/14/2018 9:34:00 AM,290.75,290.95,290.7,290.95,58818
9/14/2018 9:33:00 AM,290.8,290.95,290.6,290.75,42674
9/14/2018 9:32:00 AM,290.85,290.85,290.6,290.8,46312
9/14/2018 9:31:00 AM,290.75,291,290.7,290.8,58796
9/14/2018 9:30:00 AM,290.45,291,290.4,290.75,146512
9/14/2018 9:29:00 AM,290.05,290.45,290.05,290.45,50017
9/14/2018 9:28:00 AM,290,290.4,289.95,290,72030
9/14/2018 9:27:00 AM,290.2,290.5,290.1,290.15,100251
9/14/2018 9:26:00 AM,290.2,290.4,290.15,290.25,43978
9/14/2018 9:25:00 AM,290.3,290.3,289.95,290.1,60727
9/14/2018 9:24:00 AM,290.05,290.4,290.05,290.25,58287
9/14/2018 9:23:00 AM,290.15,290.25,289.8,290.1,107153
9/14/2018 9:22:00 AM,290.6,290.65,290,290.1,68400
9/14/2018 9:21:00 AM,290.05,290.7,290.05,290.6,106187
9/14/2018 9:20:00 AM,289.5,290.1,289.45,290.05,135471
9/14/2018 9:19:00 AM,290.1,290.25,289.5,289.5,106633
9/14/2018 9:18:00 AM,290.45,290.65,290.05,290.1,98835
9/14/2018 9:17:00 AM,290.4,290.75,290.4,290.5,153323
9/14/2018 9:16:00 AM,290.8,290.95,290.05,290.4,266621
9/14/2018 9:15:00 AM,290.45,291.75,290.45,290.8,702121
