Date,JPYINR18SEPFUT O,JPYINR18SEPFUT H,JPYINR18SEPFUT L,JPYINR18SEPFUT C,JPYINR18SEPFUT V
9/14/2018 1:09:00 PM,64.0975,64.11,64.0975,64.11,39
9/14/2018 1:08:00 PM,64.095,64.0975,64.085,64.0975,86
9/14/2018 1:07:00 PM,64.08,64.095,64.08,64.095,150
9/14/2018 1:06:00 PM,64.0825,64.0825,64.06,64.08,137
9/14/2018 1:05:00 PM,64.1025,64.1025,64.075,64.0825,487
9/14/2018 1:04:00 PM,64.0875,64.1025,64.0875,64.1025,138
9/14/2018 1:03:00 PM,64.085,64.095,64.085,64.0875,205
9/14/2018 1:02:00 PM,64.0875,64.0875,64.085,64.085,3
9/14/2018 1:01:00 PM,64.1175,64.1175,64.0875,64.0875,437
9/14/2018 1:00:00 PM,64.155,64.155,64.115,64.1175,266
9/14/2018 12:59:00 PM,64.14,64.155,64.14,64.155,1
9/14/2018 12:58:00 PM,64.145,64.145,64.14,64.14,15
9/14/2018 12:57:00 PM,64.15,64.15,64.1425,64.145,4
9/14/2018 12:56:00 PM,64.16,64.16,64.1475,64.15,164
9/14/2018 12:55:00 PM,64.18,64.18,64.16,64.16,15
9/14/2018 12:54:00 PM,64.175,64.18,64.175,64.18,3
9/14/2018 12:53:00 PM,64.1675,64.175,64.1675,64.175,2
9/14/2018 12:52:00 PM,64.16,64.1675,64.16,64.1675,2
9/14/2018 12:51:00 PM,64.16,64.16,64.16,64.16,20
9/14/2018 12:50:00 PM,64.165,64.165,64.16,64.16,28
9/14/2018 12:49:00 PM,64.165,64.165,64.165,64.165,0
9/14/2018 12:48:00 PM,64.1775,64.1775,64.16,64.165,85
9/14/2018 12:47:00 PM,64.1625,64.1775,64.1625,64.1775,11
9/14/2018 12:46:00 PM,64.1675,64.1675,64.1625,64.1625,10
9/14/2018 12:45:00 PM,64.155,64.1675,64.155,64.1675,1
9/14/2018 12:44:00 PM,64.17,64.17,64.155,64.155,8
9/14/2018 12:43:00 PM,64.1725,64.1825,64.17,64.17,38
9/14/2018 12:42:00 PM,64.1725,64.1725,64.17,64.1725,98
9/14/2018 12:41:00 PM,64.1725,64.1725,64.1725,64.1725,0
9/14/2018 12:40:00 PM,64.1675,64.1725,64.1675,64.1725,171
9/14/2018 12:39:00 PM,64.1775,64.1775,64.1675,64.1675,12
9/14/2018 12:38:00 PM,64.175,64.1775,64.17,64.1775,112
9/14/2018 12:37:00 PM,64.1775,64.1775,64.17,64.175,24
9/14/2018 12:36:00 PM,64.175,64.1775,64.17,64.1775,36
9/14/2018 12:35:00 PM,64.1675,64.175,64.165,64.175,79
9/14/2018 12:34:00 PM,64.16,64.17,64.16,64.1675,166
9/14/2018 12:33:00 PM,64.1625,64.165,64.1575,64.16,40
9/14/2018 12:32:00 PM,64.14,64.1625,64.14,64.1625,12
9/14/2018 12:31:00 PM,64.14,64.14,64.1325,64.14,50
9/14/2018 12:30:00 PM,64.14,64.1475,64.1375,64.14,16
9/14/2018 12:29:00 PM,64.15,64.15,64.14,64.14,9
9/14/2018 12:28:00 PM,64.14,64.15,64.14,64.15,19
9/14/2018 12:27:00 PM,64.1425,64.155,64.14,64.14,77
9/14/2018 12:26:00 PM,64.14,64.1475,64.14,64.1425,79
