Date,NIFTY18SEP11250CE O,NIFTY18SEP11250CE H,NIFTY18SEP11250CE L,NIFTY18SEP11250CE C,NIFTY18SEP11250CE V
9/14/2018 9:55:00 AM,261.55,261.55,258.9,260.55,300
9/14/2018 9:54:00 AM,261.55,261.55,261.55,261.55,0
9/14/2018 9:53:00 AM,262.25,263.1,261.55,261.55,225
9/14/2018 9:52:00 AM,260.05,262.7,260.05,262.25,300
9/14/2018 9:51:00 AM,261.9,263.3,260.05,260.05,600
9/14/2018 9:50:00 AM,260.5,263.95,260.5,263.95,450
9/14/2018 9:49:00 AM,260.5,260.5,260.5,260.5,75
9/14/2018 9:48:00 AM,260.5,260.5,260.5,260.5,0
9/14/2018 9:47:00 AM,259.55,262.4,259.55,260.5,300
9/14/2018 9:46:00 AM,259.55,259.55,259.55,259.55,0
9/14/2018 9:45:00 AM,259.55,259.55,259.55,259.55,0
9/14/2018 9:44:00 AM,258.05,259.55,258.05,259.55,150
9/14/2018 9:43:00 AM,256.3,258.05,256.3,258.05,300
9/14/2018 9:42:00 AM,256.05,256.3,256.05,256.3,75
9/14/2018 9:41:00 AM,256.85,257.4,254.8,256.05,300
9/14/2018 9:40:00 AM,254.45,256.85,254,256.85,225
9/14/2018 9:39:00 AM,259.9,259.9,254.45,254.45,75
9/14/2018 9:38:00 AM,259.9,259.9,259.9,259.9,0
9/14/2018 9:37:00 AM,259.9,259.9,259.9,259.9,0
9/14/2018 9:36:00 AM,260.85,260.85,259.65,259.9,300
9/14/2018 9:35:00 AM,260.85,260.85,260.85,260.85,0
9/14/2018 9:34:00 AM,260.85,260.85,260.85,260.85,0
9/14/2018 9:33:00 AM,260.85,260.85,260.85,260.85,0
9/14/2018 9:32:00 AM,267.35,267.35,260.85,260.85,75
9/14/2018 9:31:00 AM,267.35,267.35,267.35,267.35,0
9/14/2018 9:30:00 AM,260.55,267.35,260.55,267.35,300
9/14/2018 9:29:00 AM,260.55,260.55,260.55,260.55,0
9/14/2018 9:28:00 AM,264,264,260.55,260.55,75
9/14/2018 9:27:00 AM,264,264,264,264,0
9/14/2018 9:26:00 AM,264,264,264,264,0
9/14/2018 9:25:00 AM,264,264,264,264,0
9/14/2018 9:24:00 AM,264,264,264,264,0
9/14/2018 9:23:00 AM,264.8,264.8,262.4,264,225
9/14/2018 9:22:00 AM,264.8,264.8,264.8,264.8,0
9/14/2018 9:21:00 AM,261.85,266.35,261.85,264.8,300
9/14/2018 9:20:00 AM,262.55,267.2,261.85,261.85,525
9/14/2018 9:19:00 AM,267.9,267.9,262.55,262.55,450
9/14/2018 9:18:00 AM,274.9,274.9,270.1,270.1,150
9/14/2018 9:17:00 AM,274.9,274.9,274.9,274.9,0
9/14/2018 9:16:00 AM,275.3,275.3,271.55,274.9,825
9/14/2018 9:15:00 AM,270.85,275.3,270.85,275.3,450
