Date,ZEEL-EQ O,ZEEL-EQ H,ZEEL-EQ L,ZEEL-EQ C,ZEEL-EQ V
9/14/2018 10:09:00 AM,468.55,468.65,468.3,468.4,1346
9/14/2018 10:08:00 AM,468.35,468.85,468.35,468.55,2770
9/14/2018 10:07:00 AM,467.95,468.35,467.7,468.35,1614
9/14/2018 10:06:00 AM,468.05,468.1,467.35,467.95,11633
9/14/2018 10:05:00 AM,468.35,468.65,468,468.05,3518
9/14/2018 10:04:00 AM,468.75,468.75,468.3,468.35,1445
9/14/2018 10:03:00 AM,468.5,468.75,468.25,468.75,2609
9/14/2018 10:02:00 AM,468,468.9,467.85,468.5,5863
9/14/2018 10:01:00 AM,468.5,468.5,467.9,468,9854
9/14/2018 10:00:00 AM,468.65,468.7,468.6,468.65,1307
9/14/2018 9:59:00 AM,468.8,468.9,468.65,468.65,1187
9/14/2018 9:58:00 AM,469.15,469.35,468.75,468.8,6915
9/14/2018 9:57:00 AM,468.35,468.75,468.35,468.75,2365
9/14/2018 9:56:00 AM,468.45,468.5,468.35,468.35,1529
9/14/2018 9:55:00 AM,468.5,468.65,468.45,468.45,1073
9/14/2018 9:54:00 AM,468.65,468.65,468.45,468.5,2557
9/14/2018 9:53:00 AM,468.15,468.7,468.15,468.6,1184
9/14/2018 9:52:00 AM,468.65,468.95,468.15,468.15,4340
9/14/2018 9:51:00 AM,468.4,468.95,468.4,468.65,3058
9/14/2018 9:50:00 AM,468.5,468.65,468.25,468.4,1253
9/14/2018 9:49:00 AM,468.95,468.95,468.25,468.5,3552
9/14/2018 9:48:00 AM,468.5,469.1,468.5,468.95,9128
9/14/2018 9:47:00 AM,468.55,469.45,468.2,468.5,6909
9/14/2018 9:46:00 AM,468.55,468.8,468.15,468.55,6659
9/14/2018 9:45:00 AM,468.35,468.65,468.1,468.65,4409
9/14/2018 9:44:00 AM,468.95,468.95,468.35,468.35,1981
9/14/2018 9:43:00 AM,469,469,468.25,468.95,2825
9/14/2018 9:42:00 AM,469.1,469.2,468.9,469,2337
9/14/2018 9:41:00 AM,469.15,469.45,469,469.1,3235
9/14/2018 9:40:00 AM,468.95,469.45,468.75,469.15,2658
9/14/2018 9:39:00 AM,468.9,469.15,468.65,468.85,2481
9/14/2018 9:38:00 AM,469.7,469.7,468.6,468.9,5488
9/14/2018 9:37:00 AM,469.8,469.85,469.05,469.7,2360
9/14/2018 9:36:00 AM,468.7,469.85,468.7,469.8,3679
9/14/2018 9:35:00 AM,469.8,469.9,468.55,468.7,11779
9/14/2018 9:34:00 AM,470.3,470.3,469.6,469.8,9415
9/14/2018 9:33:00 AM,469.8,470.55,469.7,470.4,15407
9/14/2018 9:32:00 AM,470.55,470.6,469.55,469.8,11635
9/14/2018 9:31:00 AM,469.85,470.7,469.55,470.55,23247
9/14/2018 9:30:00 AM,471.25,471.25,469.5,469.85,21626
9/14/2018 9:29:00 AM,471.2,472.1,470.9,471,26524
9/14/2018 9:28:00 AM,470,471.5,470,471.05,18724
9/14/2018 9:27:00 AM,468.45,470.2,468.45,470.1,17011
9/14/2018 9:26:00 AM,468.8,468.85,468.05,468.45,4058
9/14/2018 9:25:00 AM,468.65,469,468.65,468.85,1407
9/14/2018 9:24:00 AM,469,469,467.9,468.6,4356
9/14/2018 9:23:00 AM,469,469.1,467.95,469,5004
9/14/2018 9:22:00 AM,469.8,470.35,468.85,468.85,8563
9/14/2018 9:21:00 AM,468.5,470,468.5,469.8,6523
9/14/2018 9:20:00 AM,467.55,469,467,468.55,4648
9/14/2018 9:19:00 AM,468.7,468.7,466.35,467.55,9684
9/14/2018 9:18:00 AM,469.2,469.35,467.65,468.95,11823
9/14/2018 9:17:00 AM,470.8,470.85,469.05,469.2,11710
9/14/2018 9:16:00 AM,471.3,471.85,470.85,470.85,29347
9/14/2018 9:15:00 AM,464.75,471.6,464.75,471.25,49080
