Date,USDINR18SEP72PE O,USDINR18SEP72PE H,USDINR18SEP72PE L,USDINR18SEP72PE C,USDINR18SEP72PE V
9/14/2018 1:34:00 PM,0.58,0.58,0.5725,0.5725,58
9/14/2018 1:33:00 PM,0.5775,0.5825,0.5775,0.58,260
9/14/2018 1:32:00 PM,0.5875,0.5875,0.5775,0.5775,205
9/14/2018 1:31:00 PM,0.575,0.5875,0.575,0.5875,52
9/14/2018 1:30:00 PM,0.58,0.58,0.5725,0.575,727
9/14/2018 1:29:00 PM,0.5925,0.5925,0.58,0.58,62
9/14/2018 1:28:00 PM,0.5925,0.5925,0.5925,0.5925,0
9/14/2018 1:27:00 PM,0.59,0.5925,0.59,0.5925,70
9/14/2018 1:26:00 PM,0.5875,0.59,0.5875,0.59,612
9/14/2018 1:25:00 PM,0.59,0.59,0.58,0.58,359
9/14/2018 1:24:00 PM,0.59,0.59,0.59,0.59,0
9/14/2018 1:23:00 PM,0.59,0.59,0.5825,0.59,87
9/14/2018 1:22:00 PM,0.5925,0.5925,0.59,0.59,25
9/14/2018 1:21:00 PM,0.605,0.605,0.5925,0.5925,86
9/14/2018 1:20:00 PM,0.6,0.605,0.6,0.605,211
9/14/2018 1:19:00 PM,0.6,0.6,0.6,0.6,0
9/14/2018 1:18:00 PM,0.6075,0.6075,0.6,0.6,100
9/14/2018 1:17:00 PM,0.6075,0.6075,0.6075,0.6075,0
9/14/2018 1:16:00 PM,0.6075,0.6075,0.605,0.6075,40
9/14/2018 1:15:00 PM,0.605,0.6125,0.605,0.6075,850
9/14/2018 1:14:00 PM,0.615,0.615,0.6,0.605,37
9/14/2018 1:13:00 PM,0.615,0.615,0.615,0.615,0
9/14/2018 1:12:00 PM,0.62,0.62,0.615,0.615,50
9/14/2018 1:11:00 PM,0.625,0.625,0.6175,0.62,536
9/14/2018 1:10:00 PM,0.6225,0.6275,0.62,0.625,144
9/14/2018 1:09:00 PM,0.6325,0.6325,0.62,0.6225,848
9/14/2018 1:08:00 PM,0.63,0.6375,0.6275,0.6325,694
9/14/2018 1:07:00 PM,0.65,0.65,0.63,0.63,366
9/14/2018 1:06:00 PM,0.65,0.655,0.65,0.65,575
9/14/2018 1:05:00 PM,0.6325,0.65,0.6325,0.65,304
9/14/2018 1:04:00 PM,0.6375,0.6375,0.6275,0.635,158
9/14/2018 1:03:00 PM,0.6375,0.6375,0.63,0.6375,425
9/14/2018 1:02:00 PM,0.6325,0.645,0.6275,0.6375,602
9/14/2018 1:01:00 PM,0.61,0.64,0.61,0.6325,1813
9/14/2018 1:00:00 PM,0.6025,0.615,0.6,0.61,852
9/14/2018 12:59:00 PM,0.585,0.6025,0.5775,0.6025,440
9/14/2018 12:58:00 PM,0.58,0.59,0.58,0.59,316
9/14/2018 12:57:00 PM,0.5875,0.5875,0.58,0.58,308
9/14/2018 12:56:00 PM,0.58,0.59,0.58,0.5875,119
9/14/2018 12:55:00 PM,0.57,0.58,0.57,0.58,149
9/14/2018 12:54:00 PM,0.57,0.57,0.56,0.57,91
9/14/2018 12:53:00 PM,0.57,0.57,0.57,0.57,12
9/14/2018 12:52:00 PM,0.5725,0.5725,0.57,0.57,25
9/14/2018 12:51:00 PM,0.5675,0.575,0.5675,0.5725,167
9/14/2018 12:50:00 PM,0.555,0.5675,0.555,0.5675,116
9/14/2018 12:49:00 PM,0.5525,0.555,0.5525,0.555,40
9/14/2018 12:48:00 PM,0.5575,0.5625,0.5525,0.5525,273
9/14/2018 12:47:00 PM,0.5575,0.5575,0.5575,0.5575,115
9/14/2018 12:46:00 PM,0.5625,0.5625,0.5575,0.5575,205
9/14/2018 12:45:00 PM,0.57,0.57,0.5625,0.5625,123
9/14/2018 12:44:00 PM,0.575,0.575,0.57,0.57,250
9/14/2018 12:43:00 PM,0.5575,0.575,0.5575,0.575,104
9/14/2018 12:42:00 PM,0.56,0.5625,0.5575,0.5575,124
9/14/2018 12:41:00 PM,0.565,0.565,0.5575,0.56,45
9/14/2018 12:40:00 PM,0.5625,0.565,0.56,0.565,32
9/14/2018 12:39:00 PM,0.55,0.5625,0.55,0.5625,7
9/14/2018 12:38:00 PM,0.5575,0.5625,0.55,0.55,97
9/14/2018 12:37:00 PM,0.55,0.5575,0.55,0.5575,51
9/14/2018 12:36:00 PM,0.5475,0.55,0.5475,0.55,83
9/14/2018 12:35:00 PM,0.545,0.5475,0.545,0.5475,51
9/14/2018 12:34:00 PM,0.555,0.555,0.5425,0.5425,115
9/14/2018 12:33:00 PM,0.5425,0.555,0.5425,0.555,50
9/14/2018 12:32:00 PM,0.5525,0.5525,0.54,0.5425,240
9/14/2018 12:31:00 PM,0.55,0.5525,0.55,0.5525,15
9/14/2018 12:30:00 PM,0.5625,0.5625,0.55,0.55,626
9/14/2018 12:29:00 PM,0.5525,0.565,0.5525,0.5625,193
9/14/2018 12:28:00 PM,0.56,0.56,0.5525,0.5525,104
9/14/2018 12:27:00 PM,0.5575,0.5625,0.55,0.56,1224
9/14/2018 12:26:00 PM,0.5675,0.5675,0.5575,0.5575,95
9/14/2018 12:25:00 PM,0.57,0.57,0.5675,0.5675,100
9/14/2018 12:24:00 PM,0.575,0.575,0.5675,0.57,234
9/14/2018 12:23:00 PM,0.58,0.58,0.57,0.575,58
9/14/2018 12:22:00 PM,0.58,0.58,0.575,0.58,21
9/14/2018 12:21:00 PM,0.59,0.59,0.5725,0.58,135
9/14/2018 12:20:00 PM,0.5925,0.595,0.59,0.59,105
9/14/2018 12:19:00 PM,0.605,0.61,0.5925,0.5925,468
9/14/2018 12:18:00 PM,0.585,0.6075,0.585,0.605,973
9/14/2018 12:17:00 PM,0.57,0.585,0.565,0.585,4329
9/14/2018 12:16:00 PM,0.5725,0.575,0.57,0.57,245
9/14/2018 12:15:00 PM,0.5775,0.58,0.5725,0.5725,260
9/14/2018 12:14:00 PM,0.58,0.5825,0.5775,0.5775,1080
9/14/2018 12:13:00 PM,0.5925,0.5925,0.5775,0.5825,1497
9/14/2018 12:12:00 PM,0.565,0.6,0.5625,0.5925,1636
9/14/2018 12:11:00 PM,0.54,0.575,0.5375,0.565,893
9/14/2018 12:10:00 PM,0.53,0.54,0.53,0.54,16
9/14/2018 12:09:00 PM,0.5375,0.5375,0.5275,0.53,95
9/14/2018 12:08:00 PM,0.535,0.5375,0.535,0.5375,638
9/14/2018 12:07:00 PM,0.535,0.535,0.53,0.535,74
9/14/2018 12:06:00 PM,0.5375,0.5375,0.5325,0.535,163
9/14/2018 12:05:00 PM,0.52,0.5375,0.52,0.5375,125
9/14/2018 12:04:00 PM,0.5025,0.52,0.5025,0.52,1910
9/14/2018 12:03:00 PM,0.495,0.5025,0.495,0.5025,1289
9/14/2018 12:02:00 PM,0.4925,0.495,0.4925,0.495,167
9/14/2018 12:01:00 PM,0.4875,0.4925,0.485,0.4925,31
9/14/2018 12:00:00 PM,0.4825,0.49,0.4825,0.4875,310
9/14/2018 11:59:00 AM,0.49,0.49,0.4825,0.4825,136
9/14/2018 11:58:00 AM,0.485,0.49,0.4825,0.49,1001
9/14/2018 11:57:00 AM,0.48,0.485,0.4775,0.485,238
9/14/2018 11:56:00 AM,0.47,0.48,0.47,0.48,772
9/14/2018 11:55:00 AM,0.48,0.48,0.47,0.47,800
9/14/2018 11:54:00 AM,0.4725,0.48,0.4725,0.48,48
9/14/2018 11:53:00 AM,0.4675,0.4725,0.465,0.4725,666
9/14/2018 11:52:00 AM,0.465,0.4675,0.4625,0.4675,18
9/14/2018 11:51:00 AM,0.465,0.4675,0.465,0.465,40
9/14/2018 11:50:00 AM,0.465,0.465,0.46,0.465,14
9/14/2018 11:49:00 AM,0.4625,0.465,0.4625,0.465,1
9/14/2018 11:48:00 AM,0.4625,0.4625,0.4625,0.4625,8
9/14/2018 11:47:00 AM,0.465,0.4675,0.4625,0.4625,24
9/14/2018 11:46:00 AM,0.4675,0.47,0.4625,0.465,223
9/14/2018 11:45:00 AM,0.47,0.4725,0.4675,0.4675,434
9/14/2018 11:44:00 AM,0.4675,0.4725,0.4675,0.47,21
9/14/2018 11:43:00 AM,0.48,0.48,0.4675,0.4675,68
9/14/2018 11:42:00 AM,0.47,0.48,0.47,0.48,15
9/14/2018 11:41:00 AM,0.4725,0.4725,0.47,0.47,22
9/14/2018 11:40:00 AM,0.4775,0.48,0.4725,0.4725,294
9/14/2018 11:39:00 AM,0.4825,0.4825,0.4775,0.4775,66
9/14/2018 11:38:00 AM,0.485,0.485,0.48,0.4825,81
9/14/2018 11:37:00 AM,0.485,0.4925,0.485,0.485,234
9/14/2018 11:36:00 AM,0.485,0.485,0.485,0.485,0
9/14/2018 11:35:00 AM,0.49,0.49,0.4825,0.485,174
9/14/2018 11:34:00 AM,0.4875,0.4925,0.4875,0.49,225
