Date,DRREDDY-EQ O,DRREDDY-EQ H,DRREDDY-EQ L,DRREDDY-EQ C,DRREDDY-EQ V
9/14/2018 12:02:00 PM,2564.6,2567.45,2564,2565,2546
9/14/2018 12:01:00 PM,2561.75,2565.6,2561,2564.6,2118
9/14/2018 12:00:00 PM,2559.95,2561.75,2559.95,2561.75,1883
9/14/2018 11:59:00 AM,2560,2560.95,2559,2560.05,1495
9/14/2018 11:58:00 AM,2557.95,2560.8,2557.1,2560,1748
9/14/2018 11:57:00 AM,2561.55,2562.65,2553.35,2557.95,9310
9/14/2018 11:56:00 AM,2562.5,2564.5,2561.5,2561.55,1428
9/14/2018 11:55:00 AM,2565,2565.9,2562.05,2562.5,2843
9/14/2018 11:54:00 AM,2566.85,2566.85,2565,2565,3055
9/14/2018 11:53:00 AM,2567,2567,2566.7,2566.85,554
9/14/2018 11:52:00 AM,2567.45,2568.45,2566.5,2567,697
9/14/2018 11:51:00 AM,2568.1,2568.8,2567,2567.45,1154
9/14/2018 11:50:00 AM,2567,2568.1,2567,2568.1,196
9/14/2018 11:49:00 AM,2566.5,2567,2566.5,2567,1713
9/14/2018 11:48:00 AM,2567,2567,2566,2566.5,1077
9/14/2018 11:47:00 AM,2567,2567,2566.1,2567,1985
9/14/2018 11:46:00 AM,2569.35,2569.35,2566.45,2567,1547
9/14/2018 11:45:00 AM,2569,2571.25,2566,2569.7,7522
9/14/2018 11:44:00 AM,2566.4,2569,2566.4,2569,1778
9/14/2018 11:43:00 AM,2570,2570.5,2565.1,2566.4,3619
9/14/2018 11:42:00 AM,2572.5,2572.5,2565.65,2570.1,6807
9/14/2018 11:41:00 AM,2570.85,2573.25,2570.85,2572.5,1165
9/14/2018 11:40:00 AM,2576.3,2577.3,2570.75,2570.75,4976
9/14/2018 11:39:00 AM,2579.9,2579.9,2575.8,2576.3,1683
9/14/2018 11:38:00 AM,2579.15,2579.9,2578.15,2579.9,985
9/14/2018 11:37:00 AM,2581.25,2582,2579,2579.15,1566
9/14/2018 11:36:00 AM,2579,2581,2579,2581,871
9/14/2018 11:35:00 AM,2578.75,2579.05,2577.5,2579,1288
9/14/2018 11:34:00 AM,2577,2579,2577,2578.75,372
9/14/2018 11:33:00 AM,2578.1,2578.1,2575.1,2577,2684
9/14/2018 11:32:00 AM,2578,2579.75,2578,2578.2,781
9/14/2018 11:31:00 AM,2578.9,2579.4,2578,2578,1754
9/14/2018 11:30:00 AM,2582.6,2583.05,2578.5,2579.4,2827
9/14/2018 11:29:00 AM,2583.95,2583.95,2582.1,2582.1,598
9/14/2018 11:28:00 AM,2585.3,2585.3,2583.7,2583.95,108
9/14/2018 11:27:00 AM,2585.35,2586.95,2585.15,2585.3,205
9/14/2018 11:26:00 AM,2587.2,2587.2,2585.35,2585.35,203
9/14/2018 11:25:00 AM,2586,2587.2,2585.4,2587.2,165
9/14/2018 11:24:00 AM,2585.85,2588,2585.85,2586,1764
9/14/2018 11:23:00 AM,2585.4,2586.4,2585.4,2585.85,473
9/14/2018 11:22:00 AM,2586.25,2586.25,2585.35,2585.4,292
9/14/2018 11:21:00 AM,2584.9,2586.25,2584.9,2586.25,633
9/14/2018 11:20:00 AM,2586,2586,2584.05,2584.9,279
9/14/2018 11:19:00 AM,2584.65,2586,2584,2586,800
9/14/2018 11:18:00 AM,2584.5,2585,2584,2584.65,356
9/14/2018 11:17:00 AM,2583.9,2584.6,2583,2584.5,680
9/14/2018 11:16:00 AM,2584.3,2584.6,2583.6,2583.9,337
9/14/2018 11:15:00 AM,2584,2584.6,2583.05,2584.3,312
9/14/2018 11:14:00 AM,2582,2584.8,2582,2583.95,368
9/14/2018 11:13:00 AM,2585.1,2585.1,2582,2582,1721
9/14/2018 11:12:00 AM,2585.05,2586.7,2585,2585.1,1648
9/14/2018 11:11:00 AM,2586,2586,2584,2585.05,587
9/14/2018 11:10:00 AM,2586.25,2586.25,2585,2586,288
9/14/2018 11:09:00 AM,2585.35,2586.4,2585.35,2586.25,380
9/14/2018 11:08:00 AM,2585,2586.4,2585,2586.15,1267
9/14/2018 11:07:00 AM,2582.5,2585.75,2582.5,2585,1305
9/14/2018 11:06:00 AM,2582.1,2582.5,2582,2582.5,666
9/14/2018 11:05:00 AM,2583.05,2583.85,2582,2582.1,129
9/14/2018 11:04:00 AM,2582.7,2583.9,2582,2582,784
9/14/2018 11:03:00 AM,2585.4,2585.4,2582.7,2582.7,172
9/14/2018 11:02:00 AM,2585,2585.7,2584.15,2585.4,791
9/14/2018 11:01:00 AM,2583.4,2586,2583.4,2585,966
9/14/2018 11:00:00 AM,2583,2584.45,2582.75,2583.4,152
9/14/2018 10:59:00 AM,2584.55,2584.55,2582.7,2582.7,770
9/14/2018 10:58:00 AM,2582.7,2584,2582.7,2583,78
9/14/2018 10:57:00 AM,2584.9,2585,2582.7,2582.7,341
9/14/2018 10:56:00 AM,2585.05,2585.75,2584,2584.9,963
9/14/2018 10:55:00 AM,2587.05,2587.7,2585.05,2585.05,1287
9/14/2018 10:54:00 AM,2587.85,2588,2586.5,2586.6,393
9/14/2018 10:53:00 AM,2585,2587.85,2585,2587.85,802
9/14/2018 10:52:00 AM,2584.05,2585.8,2584.05,2585,435
9/14/2018 10:51:00 AM,2586,2586.45,2584.05,2584.05,1399
9/14/2018 10:50:00 AM,2584.6,2585.3,2584,2585.3,2736
9/14/2018 10:49:00 AM,2583.95,2584.95,2583.95,2584.6,655
9/14/2018 10:48:00 AM,2584.75,2584.95,2582.8,2583.95,370
9/14/2018 10:47:00 AM,2583.95,2584.8,2582.2,2584,476
9/14/2018 10:46:00 AM,2582.6,2583.95,2582,2583.95,486
9/14/2018 10:45:00 AM,2582.15,2583.5,2582,2582.6,794
9/14/2018 10:44:00 AM,2583.7,2583.8,2581.95,2582.15,357
9/14/2018 10:43:00 AM,2582.4,2583.7,2581.5,2583.7,778
9/14/2018 10:42:00 AM,2582,2582.5,2581.5,2581.85,589
9/14/2018 10:41:00 AM,2582.4,2582.5,2581.5,2582,574
9/14/2018 10:40:00 AM,2582.55,2582.55,2581.05,2581.05,368
9/14/2018 10:39:00 AM,2582.55,2583.8,2582,2582,598
9/14/2018 10:38:00 AM,2584,2584.35,2582.55,2582.55,1028
9/14/2018 10:37:00 AM,2584.95,2585,2584,2584,360
9/14/2018 10:36:00 AM,2583.45,2584.95,2583.25,2584.95,892
9/14/2018 10:35:00 AM,2583.05,2584,2583,2583.45,324
9/14/2018 10:34:00 AM,2584,2584,2582,2583.05,1254
9/14/2018 10:33:00 AM,2581.35,2584,2581.35,2583.1,472
9/14/2018 10:32:00 AM,2584,2584,2581.3,2581.35,2111
9/14/2018 10:31:00 AM,2586,2586,2583.1,2584,839
9/14/2018 10:30:00 AM,2587.95,2588.05,2586,2586,1380
9/14/2018 10:29:00 AM,2586.05,2589,2586.05,2587,809
9/14/2018 10:28:00 AM,2587.8,2587.8,2585.35,2586.05,411
9/14/2018 10:27:00 AM,2588,2589,2587.5,2588.85,1492
9/14/2018 10:26:00 AM,2583.15,2589.3,2583.15,2588,1740
9/14/2018 10:25:00 AM,2582,2584,2582,2582.7,1956
9/14/2018 10:24:00 AM,2582,2583.7,2582,2582,1026
9/14/2018 10:23:00 AM,2583,2584,2581,2582,2895
9/14/2018 10:22:00 AM,2582.55,2584.4,2582.5,2583,1212
9/14/2018 10:21:00 AM,2584,2584.5,2582,2582,1519
9/14/2018 10:20:00 AM,2588,2588,2584.5,2584.5,2406
9/14/2018 10:19:00 AM,2587,2588.15,2587,2588,1352
9/14/2018 10:18:00 AM,2588.55,2589,2586.5,2587,2685
9/14/2018 10:17:00 AM,2587,2590,2586.5,2588.7,1862
9/14/2018 10:16:00 AM,2583.75,2587,2582,2587,3262
9/14/2018 10:15:00 AM,2593.6,2593.6,2583.9,2583.9,5251
9/14/2018 10:14:00 AM,2590.8,2593.55,2590.8,2592,2865
9/14/2018 10:13:00 AM,2593,2594,2590.75,2591.55,3992
9/14/2018 10:12:00 AM,2590,2595,2590,2594,11610
9/14/2018 10:11:00 AM,2585.75,2588,2584.15,2588,4631
9/14/2018 10:10:00 AM,2586.6,2587,2584,2586,3639
9/14/2018 10:09:00 AM,2585.75,2587.65,2585,2586.6,3838
9/14/2018 10:08:00 AM,2584,2586.9,2582.1,2586,4490
9/14/2018 10:07:00 AM,2583,2583.4,2581.3,2583,3544
9/14/2018 10:06:00 AM,2584.15,2584.15,2581.5,2583,3152
9/14/2018 10:05:00 AM,2581.75,2585,2581.25,2584.15,3698
9/14/2018 10:04:00 AM,2579,2581.75,2576.2,2581.75,4591
9/14/2018 10:03:00 AM,2574.95,2586,2574,2579,23814
9/14/2018 10:02:00 AM,2569.75,2576,2568.15,2575,6507
9/14/2018 10:01:00 AM,2571.1,2571.8,2567.3,2569.75,1857
9/14/2018 10:00:00 AM,2565.95,2571.15,2565.95,2570.95,5083
9/14/2018 9:59:00 AM,2564.9,2567.45,2564.9,2565.95,1282
9/14/2018 9:58:00 AM,2562.75,2563.85,2562,2563.85,1523
9/14/2018 9:57:00 AM,2561.5,2565,2561.1,2563.7,455
9/14/2018 9:56:00 AM,2562.05,2563,2557.25,2561.5,2150
9/14/2018 9:55:00 AM,2564.95,2564.95,2561.15,2561.15,2185
9/14/2018 9:54:00 AM,2564.1,2565.5,2564.1,2564.95,1345
9/14/2018 9:53:00 AM,2567,2568.1,2564,2564.1,1470
9/14/2018 9:52:00 AM,2566,2570,2565.5,2567,4126
9/14/2018 9:51:00 AM,2566.9,2567.95,2565.3,2565.5,2295
9/14/2018 9:50:00 AM,2562.8,2566.9,2562.8,2566.9,5016
9/14/2018 9:49:00 AM,2560.6,2563,2559.95,2562.8,3636
9/14/2018 9:48:00 AM,2559.6,2561.8,2559.3,2560.6,2264
9/14/2018 9:47:00 AM,2558.75,2561.05,2557.9,2560.85,3508
9/14/2018 9:46:00 AM,2558.85,2560,2557.55,2558.75,973
9/14/2018 9:45:00 AM,2556.5,2561.5,2556.5,2559.55,1292
9/14/2018 9:44:00 AM,2556.65,2558.85,2556.1,2556.5,685
9/14/2018 9:43:00 AM,2558,2558.3,2555.45,2556.65,1038
9/14/2018 9:42:00 AM,2558.9,2559.75,2556,2558,1218
