Date,BANKNIFTY18OCTFUT O,BANKNIFTY18OCTFUT H,BANKNIFTY18OCTFUT L,BANKNIFTY18OCTFUT C,BANKNIFTY18OCTFUT V
9/14/2018 11:44:00 AM,27190.2,27214.95,27190.2,27214.95,40
9/14/2018 11:43:00 AM,27192.15,27192.15,27190.2,27190.2,80
9/14/2018 11:42:00 AM,27190,27203.65,27187.35,27192.15,320
9/14/2018 11:41:00 AM,27175,27199.7,27175,27190,120
9/14/2018 11:40:00 AM,27218.05,27218.1,27175,27175,1000
9/14/2018 11:39:00 AM,27241.5,27241.5,27218.05,27218.05,120
9/14/2018 11:38:00 AM,27235,27241.5,27235,27241.5,520
9/14/2018 11:37:00 AM,27235,27235.05,27235,27235,560
9/14/2018 11:36:00 AM,27235,27235,27235,27235,0
9/14/2018 11:35:00 AM,27235,27235,27235,27235,120
9/14/2018 11:34:00 AM,27235,27235,27235,27235,0
9/14/2018 11:33:00 AM,27235.8,27235.8,27232,27235,160
9/14/2018 11:32:00 AM,27233,27235.85,27232,27232,920
9/14/2018 11:31:00 AM,27233,27233,27233,27233,0
9/14/2018 11:30:00 AM,27252,27252,27233,27233,1320
9/14/2018 11:29:00 AM,27259.05,27259.05,27252,27252,80
9/14/2018 11:28:00 AM,27259.05,27259.05,27259.05,27259.05,0
9/14/2018 11:27:00 AM,27255.05,27259.05,27255.05,27259.05,80
9/14/2018 11:26:00 AM,27265.3,27265.3,27255.05,27255.05,40
9/14/2018 11:25:00 AM,27265.3,27265.3,27265.3,27265.3,0
9/14/2018 11:24:00 AM,27254.85,27265.3,27254.85,27265.3,40
9/14/2018 11:23:00 AM,27253,27254.85,27253,27254.85,240
9/14/2018 11:22:00 AM,27261.55,27261.55,27251.85,27253,80
9/14/2018 11:21:00 AM,27265.1,27265.1,27258.95,27261.55,80
9/14/2018 11:20:00 AM,27265.1,27265.1,27265.1,27265.1,0
9/14/2018 11:19:00 AM,27265.1,27265.1,27265.1,27265.1,0
9/14/2018 11:18:00 AM,27265.1,27265.1,27265.1,27265.1,0
