Date,TCS-EQ O,TCS-EQ H,TCS-EQ L,TCS-EQ C,TCS-EQ V
9/14/2018 9:45:00 AM,2032,2034.35,2032,2033.9,12585
9/14/2018 9:44:00 AM,2030.55,2032.15,2030.55,2032,9300
9/14/2018 9:43:00 AM,2029.7,2032,2029.2,2030.75,31538
9/14/2018 9:42:00 AM,2026.95,2029.9,2026.9,2029.8,8260
9/14/2018 9:41:00 AM,2027.05,2027.85,2026.8,2026.9,10344
9/14/2018 9:40:00 AM,2026.2,2027.75,2025.55,2027.35,8274
9/14/2018 9:39:00 AM,2027.6,2027.8,2026.2,2026.2,18571
9/14/2018 9:38:00 AM,2028.45,2028.5,2027.6,2027.6,11841
9/14/2018 9:37:00 AM,2028.35,2029.25,2027.1,2028.6,13574
9/14/2018 9:36:00 AM,2026,2028.95,2026,2028.95,10417
9/14/2018 9:35:00 AM,2026.65,2026.65,2025,2026,11722
9/14/2018 9:34:00 AM,2025.3,2026.9,2025.25,2026.65,8671
9/14/2018 9:33:00 AM,2026.6,2026.7,2025,2025.45,17552
9/14/2018 9:32:00 AM,2026.5,2027.95,2026.35,2026.85,8801
9/14/2018 9:31:00 AM,2027.1,2027.3,2026.5,2026.5,10180
9/14/2018 9:30:00 AM,2028.5,2028.5,2026.5,2027,10309
9/14/2018 9:29:00 AM,2030.15,2030.15,2028.5,2028.5,12464
9/14/2018 9:28:00 AM,2029.5,2030.3,2029.5,2030.15,12852
9/14/2018 9:27:00 AM,2030.75,2030.8,2029.65,2029.95,14656
9/14/2018 9:26:00 AM,2028.25,2031,2028.25,2030.8,11708
